Block number, Reduced seignorage
10643305, 0
10649058, 0
10844550, 0
11038191, 0
11233718, 0
11429070, 0
11624483, 0
11819703, 0
12014729, 0
12209582, 0
12404058, 4428.634875373837
12597798, 32945.99217980208
12790656, 29025.5530382357
12981837, 32295.947896587517
13176102, 29860.84031108759
13369306, 28364.305774795626
13560486, 21190.392833973405
13749768, 0
13942928, 0
14136942, 0
14330802, 0
14523392, 0
14714760, 0
14900867, 0
15073482, 0
15266955, 0
15456680, 0
15657628, 0
15872374, 0
16087128, 0
16301922, 0
16516811, 0
16730960, 0
16944370, 0
17156053, 0
17368939, 0
17582143, 0
17795873, 0
18010317, 0
18224278, 0
18438721, 0
18653025, 0
