Block number, Staked (W)TON
10643305, 0
10845316, 811476.2241268172
11038966, 2177228.010420346
11234509, 3649342.4526345157
11429835, 4474766.503082183
11625272, 5780546.027072563
11820431, 6385427.140196862
12015506, 9049459.706025196
12210356, 9905664.1683615
12404848, 10878277.893535955
12598570, 11102601.19719494
12791411, 9839298.711316777
12982613, 8614609.8443742
13176884, 11059208.118568446
13370045, 10674311.93083566
13561273, 10059105.240961425
13750536, 9956871.14602742
13943668, 10257875.078743134
14137707, 10202549.733631462
14331580, 10085546.334827883
14524145, 10333268.947832104
14715508, 10551530.380021371
14901619, 11444929.507754132
15074214, 11651810.382984998
15267716, 11683511.409609312
15457438, 11623322.523939498
15658476, 12111595.853808805
15873214, 12639656.745290885
16087974, 13508285.611668523
16302763, 13800052.070931185
16517657, 14232802.401453607
16731800, 14323021.719744053
16945212, 14563683.975108556
17156890, 15119770.529623844
17369780, 15277554.761725131
17582986, 15888382.646631995
17796720, 16454425.601296052
18011162, 16630391.98692313
18225124, 17061924.434091907
18439563, 17485483.927573938
18653869, 18048283.99230153
