Block number, Locked TON, Spent TON
10643305, 0, 0
10649058, 0, 0
10844550, 0, 0
11038191, 0, 0
11233718, 0, 0
11429070, 0, 0
11624483, 0, 0
11819703, 0, 0
12014729, 17500000, 156.8968797564688
12209582, 0, 13304.341070522574
12404058, 0, 5000
12597798, 0, 0
12790656, 0, 0
12981837, 0, 0
13176102, 0, 0
13369306, 0, 0
13560486, 0, 1153.8236618467567
13749768, 0, 0
13942928, 0, 0
14136942, 0, 0
14330802, 0, 0
14523392, 0, 20000
14714760, 0, 0
14900867, 0, 0
15073482, 0, 0
15266955, 0, 1231.8489028411745
15456680, 0, 0
15657628, 0, 0
15872374, 0, 0
16087128, 0, 0
16301922, 0, 0
16516811, 0, 0
16730960, 0, 0
16944370, 0, 0
17156053, 0, 0
17368939, 0, 0
17582143, 0, 0
17795873, 0, 1143.0214992389438
18010317, 0, 0
18224278, 0, 0
18438721, 0, 0
18653025, 0, 0
18867048, 0, 0
