Block number, Burned TON
10643305, 0
10842642, 0
11036288, 0
11231800, 0
11427205, 0
11622597, 0
11817799, 0
12012834, 2077626.8561115195
12207711, 310
12402184, 10
12595908, 0
12788732, 0
12979995, 0
13174201, 0
13367434, 0
13558613, 20
13747983, 0
13940987, 0
14135067, 0
14328925, 10
14521523, 0
14712915, 10
14899057, 0
15071619, 10
15265110, 10
15454819, 0
15655543, 0
15870287, 0
16085047, 0
16299828, 0
16514721, 0
16728891, 0
16942292, 0
17153972, 0
17366875, 0
17580058, 0
17793790, 0
18008240, 0
18222190, 0
18436632, 0
18650949, 0
18864973, 0
18900569, 0
19121565, 0
19328268, 0
19548997, 0
19763207, 0
19984894, 0
20199587, 0
20421613, 0
20643641, 10
20858547, 10
