Block number, Burned TON
10643305, 0
10649058, 0
10844550, 0
11038191, 0
11233718, 0
11429070, 0
11624483, 0
11819703, 0
12014729, 2077626.8561115195
12209582, 310
12404058, 10
12597798, 0
12790656, 0
12981837, 0
13176102, 0
13369306, 0
13560486, 20
13749768, 0
13942928, 0
14136942, 0
14330802, 10
14523392, 0
14714760, 10
14900867, 0
15073482, 10
15266955, 10
15456680, 0
15657628, 0
15872374, 0
16087128, 0
16301922, 0
16516811, 0
16730960, 0
16944370, 0
17156053, 0
17368939, 0
17582143, 0
17795873, 0
18010317, 0
18224278, 0
18438721, 0
18653025, 0
18867048, 0
