Block number, Locked TON, Spent TON
10643305, 0, 0
10842642, 0, 0
11036288, 0, 0
11231800, 0, 0
11427205, 0, 0
11622597, 0, 0
11817799, 0, 0
12012834, 17500000, 0
12207711, 0, 13461.237950279043
12402184, 0, 5000
12595908, 0, 0
12788732, 0, 0
12979995, 0, 0
13174201, 0, 0
13367434, 0, 0
13558613, 0, 1153.8236618467567
13747983, 0, 0
13940987, 0, 0
14135067, 0, 0
14328925, 0, 0
14521523, 0, 20000
14712915, 0, 0
14899057, 0, 0
15071619, 0, 0
15265110, 0, 1231.8489028411745
15454819, 0, 0
15655543, 0, 0
15870287, 0, 0
16085047, 0, 0
16299828, 0, 0
16514721, 0, 0
16728891, 0, 0
16942292, 0, 0
17153972, 0, 0
17366875, 0, 0
17580058, 0, 0
17793790, 0, 1143.0214992389438
18008240, 0, 0
18222190, 0, 0
18436632, 0, 0
18650949, 0, 0
18864973, 0, 0
18900569, 0, 0
19121565, 0, 0
19328268, 0, 0
19548997, 0, 0
19763207, 0, 0
