Block number, Staked (W)TON
10643305, 0
10842642, 30903.7989714511
11036288, 1345413.5988361533
11231800, 2611293.1740756896
11427205, 4003756.094371313
11622597, 5282310.701133859
11817799, 6338125.140196861
12012834, 8083284.154536685
12207711, 9394909.1683615
12402184, 10538822.665880881
12595908, 11183486.118435763
12788732, 9839298.711316777
12979995, 8599799.804250725
13174201, 11129606.118568446
13367434, 10674311.930858059
13558613, 10036148.503636783
13747983, 9956871.14602742
13940987, 10214978.141198723
14135067, 10202549.733631462
14328925, 10088341.401931763
14521523, 10333268.947832104
14712915, 10497482.591149783
14899057, 11341923.24329115
15071619, 11651810.382984998
15265110, 11683511.409609312
15454819, 11623322.523939498
15655543, 12113673.022429656
15870287, 12639656.745290885
16085047, 13416879.226206867
16299828, 13800052.070931185
16514721, 14232802.401453607
16728891, 14323021.719744053
16942292, 14563683.975108556
17153972, 15119770.529623844
17366875, 15277554.761725131
17580058, 15888382.646631995
17793790, 16454425.601296052
18008240, 16630391.98692313
18222190, 17061924.434091907
18436632, 17398483.197009273
18650949, 18048283.99230153
18864973, 18533967.542079445
18900569, 18434173.669577945
19121565, 18902732.660057515
19328268, 19031624.70586309
19548997, 18204690.708894897
19763207, 18551695.562955145
19984894, 19067947.832672972
20199587, 17829434.667449065
20421613, 19732098.00790636
20643641, 20263771.16018176
20858547, 20465214.84807658
21080699, 21144660.20425216
21295591, 20975449.44564886
21517539, 21502745.557471447
21739600, 22162922.75506525
21939923, 22786872.6540167
22161974, 23059043.857746333
22376957, 23867305.88033518
22597793, 24225901.15274126
22812326, 24496486.176823467
23034183, 24908649.16625839
23256203, 25448057.09894681
23470894, 25807426.913963526
23692440, 26244572.871436134
23906566, 26960715.51695201
24127691, 27470573.81513263
24349931, 27994070.560803156
