Block number, Staked (W)TON
10643305, 0
10842642, 30903.7989714511
11036288, 1345413.5988361533
11231800, 2611293.1740756896
11427205, 4003756.094371313
11622597, 5282310.701133859
11817799, 6338125.140196861
12012834, 8083284.154536685
12207711, 9394909.1683615
12402184, 10538822.665880881
12595908, 11183486.118435763
12788732, 9839298.711316777
12979995, 8599799.804250725
13174201, 11129606.118568446
13367434, 10674311.930858059
13558613, 10036148.503636783
13747983, 9956871.14602742
13940987, 10214978.141198723
14135067, 10202549.733631462
14328925, 10088341.401931763
14521523, 10333268.947832104
14712915, 10497482.591149783
14899057, 11341923.24329115
15071619, 11651810.382984998
15265110, 11683511.409609312
15454819, 11623322.523939498
15655543, 12113673.022429656
15870287, 12639656.745290885
16085047, 13416879.226206867
16299828, 13800052.070931185
16514721, 14232802.401453607
16728891, 14323021.719744053
16942292, 14563683.975108556
17153972, 15119770.529623844
17366875, 15277554.761725131
17580058, 15888382.646631995
17793790, 16454425.601296052
18008240, 16630391.98692313
18222190, 17061924.434091907
18436632, 17398483.197009273
18650949, 18048283.99230153
18864973, 18533967.542079445
