Block number, Staked (W)TON
14109200, 10425139.017916817
14290261, 10868058.150612926
14489547, 10206287.009930417
14681237, 10519306.442343842
14874554, 11276303.670614336
15046664, 11644160.382984998
15245811, 11658197.056739062
15442316, 11462921.408260632
15641242, 12150008.76750451
15863125, 12644011.54776728
16077893, 13416879.226206867
16299828, 13800052.070931185
16521888, 14231895.316152385
16721768, 14341242.552355602
16942292, 14563683.975108556
17153972, 15119770.529623844
17373975, 15277554.761725131
17587194, 15888382.646631995
17808087, 16454425.601296052
18029651, 16838070.243022863
18243613, 17061974.35130188
18465217, 17497969.712151352
18679510, 18167519.206324235
18900569, 18434173.669577945
